exp,operador,num_centres,heli_per_centre,seed,h_ini,h_fin,temps_ms,nodes
1,SwapGroups+SwapOrder,5,1,617,4262,2462,2712,1998,166,60
1,SwapGroups+SwapOrder,5,1,39,3968,1455,2427,4840,208,73
1,SwapGroups+SwapOrder,5,1,902,4075,1166,2534,3427,242,93
1,SwapGroups+SwapOrder,5,1,455,4686,3559,2988,1987,199,75
1,SwapGroups+SwapOrder,5,1,768,4442,7233,2680,7014,215,81
1,SwapGroups+SwapOrder,5,1,120,4522,5975,2535,9351,211,79
1,SwapGroups+SwapOrder,5,1,593,4068,4664,2421,7413,279,83
1,SwapGroups+SwapOrder,5,1,834,4657,2998,2761,3200,242,72
1,SwapGroups+SwapOrder,5,1,206,4229,8984,2815,1065,227,79
1,SwapGroups+SwapOrder,5,1,319,4117,2092,2489,7728,328,86
1,SwapGroups+SwapOrder,5,1,650,4363,2135,2792,9019,201,71
1,SwapGroups+SwapOrder,5,1,77,4487,6640,2604,6799,268,95
1,SwapGroups+SwapOrder,5,1,982,4560,3043,2726,5990,190,70
1,SwapGroups+MoveGroup+SwapOrder,5,1,523,4384,8635,2773,3402,283,73
1,SwapGroups+MoveGroup+SwapOrder,5,1,87,4374,8607,2832,9607,328,95
1,SwapGroups+MoveGroup+SwapOrder,5,1,999,4475,1050,2647,4888,265,86
1,SwapGroups+MoveGroup+SwapOrder,5,1,341,4131,7443,2503,0964,258,83
1,SwapGroups+MoveGroup+SwapOrder,5,1,712,4172,8073,2888,4960,264,89
1,SwapGroups+MoveGroup+SwapOrder,5,1,65,4482,4367,2721,3714,244,74
1,SwapGroups+MoveGroup+SwapOrder,5,1,488,4651,7142,2976,0005,267,87
1,SwapGroups+MoveGroup+SwapOrder,5,1,230,3965,3094,2311,2028,257,87
1,SwapGroups+MoveGroup+SwapOrder,5,1,901,4681,9310,3026,3536,223,70
1,SwapGroups+MoveGroup+SwapOrder,5,1,144,4632,3760,2656,0309,239,78
1,SwapGroups+MoveGroup+SwapOrder,5,1,378,4375,0094,2947,5031,276,87
1,SwapGroups+MoveGroup+SwapOrder,5,1,654,4230,9693,2667,8421,299,73
1,SwapGroups+MoveGroup+SwapOrder,5,1,29,4618,9562,2661,5951,253,74
1,SwapGroups+MoveGroup+SwapOrder,5,1,810,4245,0098,2535,0658,299,94
1,SwapGroups+MoveGroup+SwapOrder,5,1,472,4529,7793,2631,3395,277,90
1,SwapGroups+MoveGroup+SwapOrder,5,1,193,4239,7636,2687,1461,210,68
1,SwapGroups+MoveGroup+SwapOrder,5,1,556,4321,2816,2763,1878,306,96
1,SwapGroups+MoveGroup+SwapOrder,5,1,721,4485,2245,2660,7492,279,71
1,SwapGroups+MoveGroup+SwapOrder,5,1,88,4503,4948,2843,0108,224,71
1,SwapGroups+MoveGroup+SwapOrder,5,1,402,4757,7140,2640,9800,243,79
1,SwapGroups+MoveGroup+SwapOrder,5,1,615,4280,7555,2530,9129,242,81
1,SwapGroups+MoveGroup+SwapOrder,5,1,777,4359,2092,2792,3531,249,81
1,SwapGroups+MoveGroup+SwapOrder,5,1,5,4343,5813,2779,8179,265,83
1,SwapGroups+MoveGroup+SwapOrder,5,1,268,4319,1263,2821,6106,223,74
1,SwapGroups+MoveGroup+SwapOrder,5,1,349,4726,3106,2885,6544,221,71
1,SwapGroups+MoveGroup+SwapOrder,5,1,920,4154,5263,2512,0829,277,92
1,SwapGroups+MoveGroup+SwapOrder,5,1,431,4157,6468,2742,1275,241,76
1,SwapGroups+MoveGroup+SwapOrder,5,1,602,4557,1241,2856,3583,240,76
1,SwapGroups+MoveGroup+SwapOrder,5,1,118,4421,6769,2684,2415,205,69
1,SwapGroups+MoveGroup+SwapOrder,5,1,745,4401,6373,2825,8146,287,85
1,SwapGroups+MoveGroup+SwapOrder,5,1,864,4325,7258,2592,1065,248,77
