exp,k,lambda,steps,stiter,seed,h_inicial,h_final,temps_ms
3,10,0,001000,150000,5000,498,2387,2387,270
3,10,0,001000,150000,5000,617,2644,2622,275
3,10,0,001000,150000,5000,39,2368,2312,264
3,10,0,001000,150000,5000,902,2423,2360,271
3,10,0,001000,150000,5000,455,3040,2928,316
3,10,0,001000,150000,5000,768,2474,2432,345
3,10,0,001000,150000,5000,120,2490,2398,317
3,10,0,001000,150000,5000,593,2470,2399,259
3,10,0,001000,150000,5000,834,2622,2622,278
3,10,0,001000,150000,5000,206,2707,2618,269
3,10,0,001000,150000,5000,319,2459,2389,355
3,10,0,001000,150000,5000,650,2693,2646,352
3,10,0,001000,150000,5000,77,2529,2485,286
3,10,0,001000,150000,5000,982,2704,2630,288
3,10,0,001000,150000,10000,523,2679,2679,268
3,10,0,001000,150000,10000,87,2667,2667,274
3,10,0,001000,150000,10000,999,2739,2578,268
3,10,0,001000,150000,10000,341,2585,2484,296
3,10,0,001000,150000,10000,712,2935,2841,335
3,10,0,001000,150000,10000,65,2753,2636,331
3,10,0,001000,150000,10000,488,2957,2901,269
3,10,0,001000,150000,10000,230,2330,2248,262
3,10,0,001000,150000,10000,901,3045,2931,334
3,10,0,001000,150000,10000,144,2694,2634,291
3,10,0,001000,150000,10000,378,2935,2910,275
3,10,0,001000,150000,10000,654,2616,2564,275
3,10,0,001000,150000,10000,29,2631,2533,281
3,10,0,001000,150000,10000,810,2555,2491,312
3,10,0,001000,150000,10000,472,2567,2529,368
3,10,0,001000,150000,10000,193,2764,2644,370
3,10,0,001000,150000,10000,556,2792,2723,345
3,10,0,001000,150000,10000,721,2665,2605,281
3,10,0,001000,150000,10000,88,2872,2747,269
3,10,0,001000,150000,10000,402,2583,2489,286
3,10,0,001000,150000,10000,615,2561,2439,277
3,10,0,001000,150000,10000,777,2807,2693,279
3,10,0,001000,150000,10000,5,2576,2529,280
3,10,0,001000,150000,10000,268,2668,2666,337
3,10,0,001000,150000,10000,349,2862,2851,281
3,10,0,001000,150000,10000,920,2529,2457,291
3,10,0,001000,150000,10000,431,2620,2620,305
3,10,0,001000,150000,10000,602,2872,2777,302
3,10,0,001000,150000,10000,118,2500,2397,266
3,10,0,001000,150000,10000,745,2845,2803,304
3,10,0,001000,150000,10000,864,2478,2353,368
3,10,0,001000,150000,10000,52,2617,2564,303
3,10,0,001000,150000,10000,390,2793,2745,332
3,10,0,001000,150000,10000,281,2386,2332,261
3,10,0,001000,150000,10000,973,2440,2404,281
3,10,0,001000,150000,10000,167,2877,2836,281
3,10,0,001000,150000,10000,459,2592,2566,272
3,10,0,001000,150000,10000,630,2720,2707,283
3,10,0,001000,150000,10000,204,2742,2643,288
3,10,0,001000,150000,10000,851,2538,2444,373
3,10,0,001000,150000,10000,76,2800,2739,289
3,10,0,001000,150000,10000,538,2579,2501,268
3,10,0,001000,150000,10000,692,2971,2880,268
3,10,0,001000,150000,10000,314,2559,2531,271
3,10,0,001000,150000,10000,947,2492,2492,276
3,10,0,001000,150000,10000,183,2454,2367,279
3,10,0,001000,150000,10000,420,2756,2756,274
3,10,0,001000,150000,10000,559,2756,2692,271
3,10,0,001000,150000,10000,601,2861,2829,287
3,10,0,001000,150000,10000,732,2598,2535,268
3,10,0,001000,150000,10000,11,2769,2714,275
3,10,0,001000,150000,10000,298,2516,2476,267
3,10,0,001000,150000,10000,467,3045,3013,276
3,10,0,001000,150000,10000,825,2572,2497,264
3,10,0,001000,150000,10000,940,2615,2613,280
3,10,0,001000,150000,10000,156,2579,2579,282
3,10,0,001000,150000,10000,377,2643,2602,268
3,10,0,001000,150000,10000,688,2681,2675,294
3,10,0,001000,150000,10000,249,2600,2548,263
3,10,0,001000,150000,10000,563,2698,2698,287
3,10,0,001000,150000,10000,704,3027,3007,293
3,10,0,001000,150000,10000,92,2619,2616,345
3,10,0,001000,150000,10000,815,2658,2658,290
3,10,0,001000,150000,10000,333,2451,2378,271
3,10,0,001000,150000,10000,478,2591,2572,267
3,10,0,001000,150000,10000,690,2581,2581,321
